,Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
205,7,8,0,28.0,No,low,1.8,Dell,900,138,60~80
206,8,7,1,20.0,No,average,2.9000000000000004,Acer,525,119,60~80
207,4,4,0,24.0,No,average,3.8000000000000003,Apple,400,112,80+
208,8,5,0,23.0,Yes,high,3.6,Acer,400,144,60~80
209,7,3,0,35.0,Yes,low,3.1,Asus,595,115,60~80
210,8,2,2,31.0,Yes,high,3.8000000000000003,Acer,325,114,80+
211,8,4,2,22.0,No,low,2.3000000000000003,HP,355,120,60-
212,6,4,5,23.0,No,average,4.1000000000000005,HP,135,102,80+
213,11,5,0,21.0,Yes,low,3.0,Acer,585,102,80+
214,10,5,12,27.0,No,low,2.8000000000000003,HP,555,121,60-
215,8,4,1,28.0,No,average,3.5,Apple,690,131,60~80
216,5,7,7,33.0,Yes,high,3.6,Asus,710,119,60-
217,6,5,0,33.0,Yes,low,2.6,HP,545,130,60~80
218,9,7,0,28.0,Yes,average,1.9000000000000001,Apple,835,101,80+
219,6,6,8,34.0,Yes,average,3.8000000000000003,Apple,325,119,80+
220,7,5,1,34.0,Yes,high,3.1,Asus,815,102,80+
221,7,3,12,32.0,Yes,average,2.4000000000000004,Asus,875,110,60-
222,7,2,11,22.0,Yes,average,2.8000000000000003,Asus,610,142,60-
223,10,5,10,27.0,Yes,high,2.9000000000000004,Dell,815,130,60-
224,7,5,1,34.0,Yes,low,3.9000000000000004,Asus,725,136,80+
225,6,6,11,26.0,No,high,2.7,Asus,340,142,60~80
226,7,2,0,21.0,Yes,high,2.2,Asus,675,124,60-
227,7,3,1,35.0,Yes,high,3.5,Asus,670,115,60~80
228,7,5,2,33.0,No,high,2.0,Acer,310,156,80+
229,6,4,2,32.0,No,high,1.9000000000000001,Dell,0,135,60~80
230,7,3,12,30.0,No,low,3.9000000000000004,Asus,470,148,80+
231,10,4,4,29.0,Yes,low,1.9000000000000001,HP,635,118,60~80
232,6,7,5,25.0,Yes,high,4.3,Dell,690,101,80+
233,5,9,2,32.0,Yes,high,4.2,Acer,95,110,80+
234,6,8,2,32.0,No,low,3.2,Acer,265,170,80+
235,6,3,11,22.0,Yes,high,2.4000000000000004,Asus,660,145,60-
236,9,4,2,34.0,Yes,high,4.3,HP,530,145,80+
237,7,5,0,31.0,Yes,high,2.8000000000000003,Leveno,630,103,60-
238,7,4,3,31.0,No,average,3.2,Dell,245,111,80+
239,6,4,2,30.0,No,average,4.3,Apple,495,101,80+
240,11,5,7,28.0,No,high,4.0,Apple,485,146,80+
241,7,4,6,26.0,No,average,2.0,Apple,570,132,60-
242,9,4,13,31.0,No,low,2.5,Apple,445,108,60-
243,4,2,1,27.0,No,high,3.0,Asus,605,125,60-
244,8,3,6,24.0,No,average,4.2,Asus,795,127,80+
245,10,5,12,32.0,Yes,average,2.5,Dell,780,126,60-
246,6,5,0,33.0,Yes,low,3.1,Dell,500,149,80+
247,7,8,0,33.0,No,high,3.4000000000000004,Apple,380,127,80+
248,4,4,0,33.0,No,low,2.1,Apple,675,172,80+
249,7,3,1,22.0,Yes,average,3.0,Acer,310,110,60-
250,7,7,13,23.0,Yes,high,2.3000000000000003,Apple,585,103,80+
251,8,8,1,28.0,No,average,2.8000000000000003,Asus,160,137,60-
252,5,5,12,35.0,No,high,2.4000000000000004,HP,370,112,80+
253,7,4,3,23.0,No,high,2.8000000000000003,Apple,150,148,80+
254,8,1,0,23.0,Yes,high,2.5,HP,520,114,60-
255,6,3,6,20.0,Yes,average,2.4000000000000004,Asus,710,116,60-
256,6,2,11,33.0,Yes,high,2.5,HP,430,136,60-
257,5,7,11,28.0,Yes,high,2.6,Asus,590,136,60-
258,9,5,3,32.0,Yes,average,2.8000000000000003,Asus,545,107,80+
259,7,8,10,21.0,No,low,3.6,Acer,245,104,60~80
260,7,2,2,35.0,No,low,3.8000000000000003,Apple,0,125,80+
261,8,3,3,24.0,Yes,low,3.0,Dell,770,122,80+
262,7,3,2,26.0,Yes,high,2.9000000000000004,Asus,670,127,60~80
263,6,4,2,21.0,Yes,high,4.1000000000000005,Acer,380,137,80+
264,6,4,7,33.0,No,high,1.9000000000000001,HP,690,103,60-
265,5,2,3,32.0,Yes,high,4.2,HP,320,133,80+
266,6,5,3,20.0,No,low,4.3,Acer,665,147,80+
267,8,7,1,19.0,No,high,3.9000000000000004,Apple,330,140,80+
268,9,4,0,19.0,No,high,2.7,Dell,420,134,60~80
269,8,4,4,34.0,No,low,3.0,Leveno,505,146,80+
270,7,5,0,19.0,Yes,high,2.5,HP,50,111,60-
271,9,8,1,32.0,No,low,3.8000000000000003,HP,535,129,80+
272,8,3,2,27.0,No,average,2.4000000000000004,Asus,480,121,80+
273,11,9,13,29.0,Yes,average,4.0,Leveno,815,134,80+
274,8,4,10,34.0,No,high,3.5,Apple,990,143,80+
275,5,12,4,31.0,No,high,3.1,Dell,595,122,80+
276,7,6,0,27.0,No,low,3.7,Asus,620,113,80+
277,7,7,0,34.0,No,high,2.4000000000000004,Acer,565,112,60~80
278,9,5,0,32.0,Yes,low,3.4000000000000004,Leveno,765,114,60~80
279,6,2,5,19.0,Yes,low,4.3,HP,830,107,80+
280,8,4,9,31.0,No,high,3.0,HP,855,118,60-
281,9,6,0,33.0,No,average,4.2,Acer,565,112,80+
282,3,5,6,33.0,No,high,3.8000000000000003,Acer,360,113,80+
283,7,7,1,20.0,No,average,3.6,Dell,555,130,60-
284,9,3,1,31.0,No,high,3.2,Acer,890,114,60-
285,5,2,2,32.0,No,average,2.4000000000000004,Asus,485,114,60-
286,4,3,3,35.0,No,average,1.8,HP,990,103,60~80
287,5,5,0,30.0,Yes,average,3.3000000000000003,HP,810,124,60~80
288,4,3,0,23.0,Yes,high,3.1,Apple,365,126,80+
289,6,7,1,35.0,No,high,2.1,Dell,0,148,80+
290,8,4,0,25.0,No,low,3.6,Acer,560,134,60-
291,8,3,3,28.0,Yes,low,3.3000000000000003,Acer,120,110,60~80
292,3,4,2,19.0,Yes,low,4.0,Dell,290,118,80+
293,9,4,0,21.0,No,low,2.3000000000000003,Asus,845,148,60-
294,6,5,3,27.0,Yes,high,3.8000000000000003,Asus,235,137,80+
295,6,4,7,34.0,Yes,average,3.3000000000000003,Acer,215,114,60-
296,12,3,4,24.0,No,high,1.9000000000000001,Leveno,650,133,80+
297,7,3,1,22.0,No,high,2.2,Dell,570,117,60-
298,7,5,0,26.0,No,low,4.1000000000000005,Dell,990,127,80+
299,10,6,0,22.0,Yes,high,3.6,Apple,325,132,80+
300,7,4,4,19.0,No,average,2.8000000000000003,HP,520,143,80+
301,7,7,0,24.0,Yes,average,2.3000000000000003,Apple,455,129,60-
302,7,4,0,26.0,No,low,3.6,Acer,340,133,60~80
303,5,4,1,30.0,Yes,low,2.3000000000000003,Asus,595,110,80+
304,3,2,10,34.0,Yes,average,3.9000000000000004,Acer,675,127,80+
305,5,3,1,21.0,No,low,3.9000000000000004,Acer,990,149,80+
306,11,5,6,31.0,Yes,high,3.3000000000000003,Apple,540,148,80+
307,7,4,2,24.0,No,high,2.8000000000000003,Dell,940,121,60-
308,5,3,0,19.0,No,high,3.6,HP,85,166,80+
309,6,2,9,20.0,Yes,low,2.0,Acer,865,143,60~80
310,6,3,1,22.0,No,high,1.9000000000000001,Asus,390,102,60-
311,7,3,1,34.0,Yes,low,3.9000000000000004,Acer,530,139,80+
312,6,5,12,23.0,No,low,4.2,Apple,710,108,80+
313,6,2,2,31.0,Yes,average,2.7,Apple,520,137,60~80
314,7,3,2,34.0,Yes,low,2.1,Apple,145,144,60~80
315,7,4,2,22.0,No,average,2.6,Apple,890,103,60~80
316,7,7,1,25.0,No,average,2.9000000000000004,Acer,430,135,60~80
317,7,3,1,28.0,Yes,low,2.0,Apple,590,140,60~80
318,5,5,0,27.0,No,high,4.0,HP,725,122,80+
319,6,5,6,28.0,Yes,low,3.5,Apple,645,109,60-
320,10,2,1,29.0,No,average,3.9000000000000004,Acer,570,149,80+
321,7,6,6,34.0,No,low,3.6,Dell,880,147,80+
322,6,3,12,21.0,Yes,low,2.5,Acer,445,148,60-
323,6,2,12,25.0,Yes,low,2.0,Acer,765,117,60-
324,6,3,4,27.0,No,average,2.3000000000000003,Acer,470,133,80+
325,5,6,0,33.0,No,low,3.0,Dell,320,129,60~80
326,8,4,1,29.0,No,high,3.5,Dell,610,132,60-
327,3,3,0,20.0,No,average,2.3000000000000003,Leveno,375,145,80+
328,6,2,3,33.0,Yes,high,2.1,Asus,465,107,80+
329,5,6,1,30.0,Yes,low,4.1000000000000005,Apple,415,111,80+
330,8,4,3,19.0,No,high,3.1,Acer,620,121,60-
331,6,3,2,28.0,No,average,4.0,Acer,535,145,80+
332,11,3,2,27.0,Yes,high,2.2,Dell,540,117,60~80
333,6,5,8,19.0,No,low,2.7,Dell,325,144,80+
334,7,3,10,22.0,Yes,average,2.7,Dell,125,100,60-
335,6,5,0,31.0,Yes,low,3.6,Leveno,445,115,80+
336,3,3,13,20.0,No,low,2.7,HP,685,112,60-
337,3,4,4,30.0,No,low,2.8000000000000003,Dell,460,110,80+
338,6,4,2,25.0,Yes,average,3.5,Leveno,260,126,80+
339,8,8,3,19.0,No,average,2.0,Acer,0,144,60~80
340,9,3,1,28.0,Yes,average,4.0,Acer,665,168,80+
341,8,4,4,29.0,Yes,average,3.8000000000000003,Asus,990,115,80+
342,5,4,2,33.0,Yes,low,3.3000000000000003,Apple,465,126,80+
343,12,3,2,23.0,No,average,3.3000000000000003,HP,700,103,80+
344,6,2,7,33.0,No,average,2.0,HP,990,128,60~80
345,8,5,5,32.0,No,high,3.1,Apple,475,120,80+
346,7,6,1,28.0,No,average,2.3000000000000003,HP,635,101,60-
347,8,4,10,34.0,No,high,3.9000000000000004,Acer,805,149,80+
348,8,2,11,21.0,Yes,high,3.1,Asus,570,120,60-
349,5,2,11,27.0,No,average,4.0,Asus,190,122,80+
350,7,3,12,20.0,Yes,average,3.1,Acer,585,114,60-
351,8,7,3,25.0,No,average,3.9000000000000004,Apple,540,111,80+
352,5,12,2,27.0,Yes,low,3.5,Leveno,530,113,80+
353,9,5,13,26.0,No,average,3.3000000000000003,Acer,305,106,80+
354,8,4,0,30.0,Yes,low,3.2,HP,630,138,80+
355,5,7,10,20.0,No,average,4.0,Leveno,955,138,80+
356,5,5,1,23.0,No,average,2.3000000000000003,Asus,80,128,60~80
357,8,3,2,33.0,Yes,average,1.9000000000000001,Apple,270,121,60-
358,4,5,2,28.0,No,average,2.3000000000000003,HP,705,117,60~80
359,7,3,0,31.0,Yes,high,2.3000000000000003,Apple,980,146,80+
360,7,3,0,21.0,Yes,average,3.3000000000000003,Asus,275,148,60~80
361,6,7,0,22.0,Yes,high,3.6,Dell,970,145,60~80
362,5,6,2,30.0,No,high,4.3,Leveno,165,129,80+
363,8,4,4,26.0,No,average,4.0,Acer,540,118,80+
364,6,4,7,34.0,No,high,1.8,Acer,790,135,60-
365,9,4,0,28.0,Yes,average,3.1,Acer,650,123,60-
366,6,8,5,28.0,No,low,4.0,HP,475,130,80+
367,9,4,7,29.0,No,low,3.7,Acer,620,125,80+
368,7,7,1,20.0,No,low,3.9000000000000004,Dell,655,143,80+
369,6,3,12,20.0,No,low,3.8000000000000003,Acer,285,114,80+
370,8,3,3,30.0,Yes,low,2.3000000000000003,Dell,325,135,60-
371,7,5,5,25.0,Yes,average,4.1000000000000005,Leveno,335,143,80+
372,8,3,4,29.0,No,low,2.1,Leveno,580,141,80+
373,6,6,4,27.0,Yes,average,1.8,Asus,65,136,60-
374,7,2,0,28.0,No,high,3.5,HP,655,106,60-
375,7,4,7,26.0,Yes,average,4.0,HP,45,103,80+
376,7,2,2,30.0,No,average,4.2,Dell,495,129,80+
377,6,1,2,32.0,No,average,3.0,Dell,725,125,60-
378,7,5,5,22.0,No,low,3.6,Asus,495,142,60-
379,6,6,1,34.0,Yes,high,2.8000000000000003,HP,195,112,80+
380,8,3,11,34.0,Yes,low,2.3000000000000003,Acer,775,138,60-
381,8,7,2,30.0,No,high,3.4000000000000004,Apple,700,122,80+
382,8,5,2,22.0,Yes,low,4.2,Apple,255,102,80+
383,11,3,2,19.0,Yes,low,1.8,Leveno,0,117,60-
384,10,5,7,25.0,No,high,3.3000000000000003,Acer,810,117,80+
385,8,4,0,19.0,No,average,4.0,Asus,680,126,80+
386,8,2,3,28.0,Yes,low,2.6,Acer,675,138,60-
387,5,8,13,25.0,No,average,2.9000000000000004,HP,440,141,60-
388,6,4,3,31.0,No,average,2.8000000000000003,HP,0,134,80+
389,4,4,0,28.0,No,high,2.5,Apple,455,112,80+
390,9,8,2,27.0,No,low,3.7,Apple,515,104,80+
391,10,2,9,23.0,No,high,2.3000000000000003,Apple,625,174,80+
392,4,4,1,28.0,Yes,average,3.4000000000000004,Dell,705,109,60-
393,8,4,0,27.0,Yes,high,2.1,Acer,740,126,60-
394,10,13,10,33.0,No,high,2.0,Leveno,230,108,60-
395,8,7,2,25.0,Yes,average,2.6,Asus,675,112,60~80
396,6,2,13,32.0,Yes,average,3.1,Apple,105,121,60-
397,10,4,2,24.0,Yes,low,3.1,Acer,570,102,60-
398,7,2,8,30.0,Yes,high,2.6,Dell,150,105,60-
399,5,7,5,35.0,Yes,average,3.0,HP,585,101,60-
400,6,3,11,25.0,No,average,3.9000000000000004,Acer,355,138,80+
401,8,4,0,32.0,Yes,average,3.0,Asus,500,109,60-
402,4,3,3,30.0,No,low,2.9000000000000004,Apple,320,118,80+
403,10,6,6,23.0,No,average,2.4000000000000004,Apple,405,119,60~80
404,8,5,2,28.0,Yes,low,2.1,Apple,50,130,60-
405,5,6,1,34.0,No,low,3.6,Asus,990,136,80+
406,9,4,1,25.0,Yes,average,3.2,Leveno,585,140,60-
