Avg sleep time,Avg study time,Avg video game time,BMI,In a relationship,Family financial status,GPA,Laptop brand,TOEIC grade,IQ,Grade
7,4,8,27.0,Yes,average,3.6,Dell,970,103,60-
8,14,0,19.0,Yes,low,2.9000000000000004,Acer,625,139,80+
7,4,3,32.0,Yes,high,2.6,Acer,205,115,60-
6,1,10,20.0,Yes,low,2.1,Microsoft,0,134,60-
7,3,0,25.0,No,high,3.4000000000000004,Asus,765,101,60-
6,4,0,25.0,No,low,3.6,Dell,525,140,60-
5,3,11,33.0,Yes,average,3.6,Acer,780,146,60-
6,3,0,23.0,No,high,4.1000000000000005,Microsoft,635,107,80+
8,3,2,33.0,Yes,low,4.2,HP,35,115,80+
6,5,1,35.0,No,low,2.3000000000000003,HP,290,113,60-
8,2,0,19.0,Yes,low,2.2,Microsoft,990,143,60-
6,3,0,25.0,No,average,3.2,Microsoft,990,148,60~80
5,3,6,35.0,Yes,average,4.1000000000000005,Others,450,132,80+
12,14,13,32.0,No,average,4.0,Asus,525,140,80+
4,4,3,28.0,No,high,3.9000000000000004,Microsoft,145,104,80+
6,6,6,32.0,Yes,average,4.3,Razer,720,141,80+
7,4,0,26.0,Yes,high,2.6,Others,450,142,80+
4,8,2,34.0,No,high,4.3,Others,445,136,80+
7,3,0,26.0,No,high,3.5,Dell,305,148,80+
5,7,6,33.0,No,average,2.7,Leveno,340,100,60-
8,3,6,31.0,No,low,3.0,Apple,120,131,60-
7,7,11,21.0,Yes,high,3.4000000000000004,Dell,260,111,60-
7,4,5,23.0,No,high,3.7,Apple,480,103,80+
9,3,4,29.0,No,average,2.5,Asus,335,159,80+
8,3,3,28.0,No,average,2.8000000000000003,Others,640,110,60-
10,6,1,34.0,No,high,2.7,MSI,460,139,60-
8,5,10,30.0,No,average,3.5,HP,390,147,80+
4,3,7,35.0,No,high,3.8000000000000003,Apple,465,149,80+
5,2,1,24.0,No,low,2.0,Microsoft,580,118,60~80
6,5,2,23.0,No,average,2.1,Leveno,280,136,60~80
5,6,13,20.0,No,high,3.9000000000000004,Apple,655,124,80+
7,4,0,19.0,No,high,3.7,Asus,235,139,80+
5,4,8,34.0,Yes,average,3.5,Microsoft,0,142,60-
6,6,3,21.0,Yes,low,2.7,HP,315,100,80+
4,6,0,27.0,No,low,2.5,Others,620,138,80+
7,3,3,26.0,No,high,4.3,Dell,830,123,80+
11,3,0,34.0,No,average,4.3,Leveno,740,136,80+
5,7,6,33.0,No,low,2.0,Razer,355,105,80+
8,3,1,32.0,Yes,low,3.3000000000000003,Dell,35,133,80+
7,4,3,26.0,Yes,average,3.5,Leveno,505,125,60~80
8,7,0,20.0,Yes,average,2.7,Apple,430,145,60~80
5,3,13,24.0,No,high,2.8000000000000003,HP,745,127,60-
6,10,0,30.0,Yes,high,1.9000000000000001,Acer,840,118,60~80
6,13,0,24.0,Yes,low,3.0,Acer,205,104,80+
8,4,11,30.0,No,low,3.6,MSI,635,109,60-
8,6,0,34.0,Yes,average,3.2,Microsoft,730,119,80+
9,8,1,19.0,No,low,2.9000000000000004,HP,535,128,80+
7,3,1,22.0,No,average,3.5,Acer,205,140,60~80
7,4,3,32.0,Yes,low,2.2,Apple,860,144,60~80
11,3,0,34.0,Yes,high,2.3000000000000003,Dell,435,144,80+
5,6,0,35.0,Yes,low,4.3,Microsoft,150,137,80+
6,5,0,19.0,Yes,high,3.6,Acer,445,102,80+
7,7,5,28.0,No,average,3.0,Asus,730,137,60~80
6,3,0,27.0,Yes,low,2.8000000000000003,Asus,740,124,60~80
9,5,0,19.0,Yes,low,4.0,Asus,715,140,80+
5,7,2,28.0,No,low,2.8000000000000003,Razer,460,119,60-
10,5,0,21.0,Yes,high,3.3000000000000003,Apple,385,121,80+
10,2,10,28.0,No,low,2.3000000000000003,Others,580,130,60-
9,2,10,27.0,Yes,low,4.1000000000000005,Leveno,660,102,80+
3,7,13,26.0,Yes,low,3.3000000000000003,HP,615,103,60-
7,6,3,25.0,Yes,low,2.9000000000000004,Acer,445,128,80+
7,5,0,27.0,Yes,average,2.8000000000000003,Microsoft,460,132,60-
6,12,3,25.0,Yes,low,4.1000000000000005,Microsoft,990,112,80+
7,4,2,30.0,No,high,3.1,Apple,380,127,80+
5,4,8,31.0,No,high,3.7,MSI,555,102,80+
5,3,0,25.0,Yes,average,2.3000000000000003,Microsoft,405,104,60~80
7,3,0,29.0,No,low,4.0,HP,45,115,80+
8,5,2,19.0,Yes,high,2.5,MSI,390,124,60~80
7,7,8,22.0,Yes,average,3.6,Razer,880,117,60-
6,3,1,28.0,Yes,average,2.7,Microsoft,575,120,60~80
7,7,2,31.0,Yes,high,4.3,Microsoft,35,110,80+
7,2,0,30.0,No,average,1.9000000000000001,Microsoft,420,139,60~80
9,3,9,31.0,No,average,2.2,Others,905,144,60-
7,2,1,21.0,Yes,low,4.2,Apple,315,133,80+
5,4,2,23.0,No,low,2.3000000000000003,MSI,640,124,60-
7,6,10,21.0,Yes,low,4.0,Microsoft,105,136,80+
4,7,1,22.0,No,average,3.3000000000000003,Leveno,560,102,60~80
6,3,2,26.0,Yes,low,3.8000000000000003,Leveno,465,121,80+
6,5,11,19.0,Yes,average,2.9000000000000004,Apple,55,125,60-
6,2,2,19.0,Yes,average,3.0,MSI,350,147,60~80
5,7,6,23.0,Yes,high,3.5,Others,770,126,60-
4,5,0,34.0,No,average,3.5,HP,385,110,60~80
6,5,1,29.0,Yes,low,3.0,HP,185,120,60-
7,6,2,25.0,Yes,low,2.5,Asus,540,129,80+
5,2,0,25.0,Yes,average,2.1,Razer,685,107,60~80
8,6,10,19.0,No,high,2.1,Razer,285,115,80+
5,7,3,19.0,No,average,4.3,Acer,870,110,80+
6,3,2,22.0,Yes,high,4.1000000000000005,Leveno,505,143,80+
10,11,0,34.0,No,low,3.2,Acer,795,132,80+
8,11,10,29.0,Yes,high,3.9000000000000004,MSI,265,131,80+
9,3,13,24.0,Yes,low,3.4000000000000004,Apple,250,100,60-
7,7,3,34.0,Yes,low,2.9000000000000004,Razer,660,149,80+
5,4,7,21.0,No,low,3.3000000000000003,HP,460,124,60-
6,3,1,28.0,Yes,average,4.0,Asus,910,145,80+
7,4,11,28.0,No,low,2.0,Microsoft,565,103,60-
7,4,0,35.0,No,high,3.4000000000000004,Others,285,108,60~80
6,3,2,26.0,Yes,high,3.6,Others,865,120,60~80
6,6,0,19.0,Yes,high,2.1,MSI,190,167,80+
5,4,4,19.0,No,high,1.9000000000000001,Microsoft,375,110,60-
6,7,5,26.0,Yes,high,3.3000000000000003,Razer,380,117,60-
6,3,1,19.0,No,low,3.6,Leveno,540,114,60-
3,3,4,29.0,Yes,high,2.3000000000000003,Microsoft,565,104,80+
8,8,0,24.0,No,high,1.8,Microsoft,990,116,60-
9,2,2,25.0,No,low,3.6,Microsoft,380,149,80+
3,3,12,31.0,No,high,3.8000000000000003,Microsoft,730,141,80+
9,5,13,32.0,Yes,low,2.8000000000000003,HP,125,113,60-
8,2,9,27.0,No,average,3.8000000000000003,Asus,370,140,80+
8,3,1,31.0,No,high,4.1000000000000005,Apple,395,124,80+
6,3,11,25.0,Yes,low,2.8000000000000003,Others,595,110,60-
12,5,0,29.0,Yes,low,4.3,HP,310,117,80+
8,2,10,31.0,No,average,2.3000000000000003,Acer,975,132,60-
7,5,9,26.0,Yes,average,2.7,Dell,560,100,60-
5,3,4,23.0,No,average,4.0,HP,520,147,80+
5,6,0,31.0,Yes,high,3.6,Asus,355,147,60-
6,4,8,23.0,No,high,4.1000000000000005,MSI,265,118,80+
5,4,0,34.0,No,low,2.7,Others,725,146,60-
7,6,3,24.0,No,low,1.9000000000000001,Dell,445,126,60~80
10,4,5,30.0,No,low,2.1,Microsoft,225,146,60-
8,3,2,35.0,No,high,4.1000000000000005,Asus,645,140,80+
6,5,1,20.0,No,average,2.9000000000000004,Apple,720,145,60~80
